Category_Name,Category_Url
"
				Cupper",https://www.rossmann.de/de/marken/cupper/c/online-dachmarke_7862771
"
				Curaprox",https://www.rossmann.de/de/marken/curaprox/c/online-dachmarke_7050767
"
				CYBEX",https://www.rossmann.de/de/marken/cybex/c/online-dachmarke_4455176
"
				Câline",https://www.rossmann.de/de/marken/caline/c/online-dachmarke_6594317
"
				Daim",https://www.rossmann.de/de/marken/daim/c/online-dachmarke_4455177
"
				dalli",https://www.rossmann.de/de/marken/dalli/c/online-dachmarke_4455178
"
				Dallmann`s",https://www.rossmann.de/de/marken/dallmanns/c/online-dachmarke_4455179
"
				Dallmayr",https://www.rossmann.de/de/marken/dallmayr/c/online-dachmarke_4455180
"
				DAMENCREME",https://www.rossmann.de/de/marken/damencreme/c/online-dachmarke_7129130
"
				Dan Klorix",https://www.rossmann.de/de/marken/dan-klorix/c/online-dachmarke_4455181
"
				DANKE",https://www.rossmann.de/de/marken/danke/c/online-dachmarke_4455182
"
				Dantoy",https://www.rossmann.de/de/marken/dantoy/c/online-dachmarke_5636678
"
				Dantoys",https://www.rossmann.de/de/marken/dantoys/c/online-dachmarke_5549986
"
				DANZKA",https://www.rossmann.de/de/marken/danzka/c/online-dachmarke_8188866
"
				Das Exquisite",https://www.rossmann.de/de/marken/das-exquisite/c/online-dachmarke_4455183
"
				Dash",https://www.rossmann.de/de/marken/dash/c/online-dachmarke_4455184
"
				David Beckham",https://www.rossmann.de/de/marken/david-beckham/c/online-dachmarke_4455185
"
				Davidoff",https://www.rossmann.de/de/marken/davidoff/c/online-dachmarke_4455186
"
				DAYTOX",https://www.rossmann.de/de/marken/daytox/c/online-dachmarke_5266789
"
				De Beukelaer",https://www.rossmann.de/de/marken/de-beukelaer/c/online-dachmarke_4455187
"
				decofill",https://www.rossmann.de/de/marken/decofill/c/online-dachmarke_7777296
"
				Degro",https://www.rossmann.de/de/marken/degro/c/online-dachmarke_4455188
"
				DEKOWELT",https://www.rossmann.de/de/marken/dekowelt/c/online-dachmarke_6298547
"
				Demak Up",https://www.rossmann.de/de/marken/demak-up/c/online-dachmarke_4455189
"
				Denkriesen",https://www.rossmann.de/de/marken/denkriesen/c/online-dachmarke_8227188
"
				Dental Delight",https://www.rossmann.de/de/marken/dental-delight/c/online-dachmarke_7366202
"
				DenTek",https://www.rossmann.de/de/marken/dentek/c/online-dachmarke_4455190
"
				Dentemp",https://www.rossmann.de/de/marken/dentemp/c/online-dachmarke_7745798
"
				Dentinox",https://www.rossmann.de/de/marken/dentinox/c/online-dachmarke_4455191
"
				Dentistar",https://www.rossmann.de/de/marken/dentistar/c/online-dachmarke_4455192
"
				DENTTABS",https://www.rossmann.de/de/marken/denttabs/c/online-dachmarke_5088877
"
				Der General",https://www.rossmann.de/de/marken/der-general/c/online-dachmarke_4455194
"
				DeWok",https://www.rossmann.de/de/marken/dewok/c/online-dachmarke_7647199
"
				Dextro Energy",https://www.rossmann.de/de/marken/dextro-energy/c/online-dachmarke_4455196
"
				Diaderma",https://www.rossmann.de/de/marken/diaderma/c/online-dachmarke_4455197
"
				Diadermine",https://www.rossmann.de/de/marken/diadermine/c/online-dachmarke_4455198
"
				DIANA",https://www.rossmann.de/de/marken/diana/c/online-dachmarke_7349710
"
				Diasporal",https://www.rossmann.de/de/marken/diasporal/c/online-dachmarke_5748956
"
				Dickie Toys",https://www.rossmann.de/de/marken/dickie-toys/c/online-dachmarke_5164799
